UserID,Age,Category,Gender,Location,Income,Debt,Owns_Property,Profession,Demographics,Platform,Total_Tim_ Spent,Video_Category,Time Spent On Video,Scroll Rate,Frequency,Watch Reason,DeviceType,OS,Watch Time,CurrentActivity,ConnectionType
71,51,50-59,Female,Vietnam,38322.0,False,False,Students,Rural,Facebook,212.0,Pranks,5.0,6.0,Afternoon,Entertainment,Tablet,iOS,5:00 PM,At school,Mobile Data
72,27,20-29,Male,Indonesia,77714.0,True,True,Labor/Worker,Urban,Instagram,108.0,Life Hacks,16.0,94.0,Night,Boredom,Smartphone,Windows,9:00 PM,At home,Wi-Fi
73,53,50-59,Male,Vietnam,,True,False,Engineer,Rural,Facebook,288.0,Comedy,,63.0,Evening,Entertainment,Computer,Windows,,At school,Mobile Data
74,31,30-39,Female,Germany,49055.0,False,True,Waiting staff,Urban,YouTube,218.0,Jokes/Memes,2.0,8.0,Night,Boredom,Smartphone,Android,9:00 PM,At home,
75,48,40-49,Other,Philippines,62891.0,True,False,driver,Rural,YouTube,138.0,Jokes/Memes,20.0,,Night,Procrastination,Computer,MacOS,9:00 PM,At school,Mobile Data
76,32,30-39,Male,United States,26588.0,False,True,Labor/Worker,Rural,YouTube,297.0,Jokes/Memes,28.0,32.0,Night,Habit,Smartphone,Android,9:00 PM,At home,Mobile Data
77,25,20-29,Female,India,26304.0,False,False,driver,Rural,TikTok,261.0,Pranks,25.0,45.0,Night,Procrastination,Smartphone,Android,9:00 PM,Commuting,Wi-Fi
78,31,30-39,Male,India,27345.0,False,True,Labor/Worker,Rural,Facebook,274.0,Life Hacks,9.0,52.0,Afternoon,Procrastination,Tablet,Android,,Commuting,Mobile Data
79,40,40-49,Other,Japan,49300.0,False,False,Labor/Worker,Rural,TikTok,280.0,Vlogs,22.0,,Evening,Boredom,Smartphone,iOS,,At school,Wi-Fi
80,57,50-59,Male,United States,,False,True,driver,Rural,YouTube,197.0,Jokes/Memes,27.0,82.0,Night,Habit,Tablet,Windows,,At school,Mobile Data
81,38,30-39,Male,United States,35352.0,False,False,driver,Rural,Instagram,223.0,Gaming,9.0,,Evening,Habit,Smartphone,Android,2:00 PM,At home,Mobile Data
82,33,30-39,Male,Pakistan,53365.0,True,True,Labor/Worker,Urban,Facebook,292.0,Jokes/Memes,4.0,24.0,Afternoon,Entertainment,Smartphone,Android,5:00 PM,At school,Mobile Data
83,62,60-69,Male,Philippines,39446.0,False,False,Students,Rural,TikTok,220.0,Pranks,15.0,,Evening,Entertainment,Smartphone,MacOS,2:00 PM,Commuting,Mobile Data
84,35,30-39,Male,India,22336.0,False,True,Waiting staff,Urban,Facebook,85.0,Entertainment,11.0,,Afternoon,Boredom,Smartphone,Android,5:00 PM,At work,
85,64,60-69,Male,Barzil,82032.0,True,False,Labor/Worker,Urban,Instagram,157.0,Jokes/Memes,1.0,92.0,Night,Boredom,Tablet,iOS,,At home,Wi-Fi
86,41,40-49,Other,India,95415.0,True,True,Waiting staff,Rural,TikTok,222.0,Life Hacks,18.0,75.0,Night,Entertainment,Smartphone,iOS,9:00 PM,At home,Wi-Fi
87,43,40-49,Female,Indonesia,27521.0,False,False,Engineer,Rural,YouTube,118.0,Trends,29.0,70.0,Night,Habit,Computer,iOS,9:00 PM,At home,Wi-Fi
88,42,40-49,Other,United States,91707.0,True,,Manager,Rural,TikTok,,Life Hacks,,62.0,Night,Entertainment,Computer,MacOS,9:00 PM,At home,Mobile Data
89,62,60-69,Female,United States,43481.0,False,False,Students,Rural,Facebook,,Jokes/Memes,,89.0,Night,Boredom,Smartphone,MacOS,,At work,Mobile Data
90,58,50-59,Female,Germany,38474.0,False,True,Waiting staff,Rural,Facebook,56.0,Jokes/Memes,25.0,61.0,Night,Entertainment,Smartphone,Android,9:00 PM,At school,Wi-Fi
91,46,40-49,Male,United States,66760.0,True,False,Waiting staff,Rural,Facebook,105.0,Jokes/Memes,,1.0,Afternoon,Boredom,Tablet,Android,5:00 PM,At school,Mobile Data
92,32,30-39,Male,India,,True,True,Students,Rural,Facebook,112.0,Jokes/Memes,26.0,89.0,Night,Boredom,Smartphone,iOS,9:00 PM,Commuting,Wi-Fi
93,62,60-69,Female,India,64629.0,True,False,Students,Rural,YouTube,155.0,Trends,,66.0,Night,Habit,Smartphone,Android,9:00 PM,At school,Mobile Data
94,18,15-19,Male,India,65232.0,True,True,driver,Rural,TikTok,,Vlogs,22.0,,Night,Boredom,Tablet,iOS,,At work,Wi-Fi
95,42,40-49,Other,Vietnam,87169.0,True,True,Manager,Rural,YouTube,229.0,Life Hacks,18.0,13.0,Evening,Habit,Computer,iOS,2:00 PM,At work,Wi-Fi
96,24,20-29,Other,Pakistan,70669.0,True,True,Students,Rural,YouTube,27.0,Jokes/Memes,,33.0,Morning,Habit,Smartphone,Android,8:00 AM,At home,Wi-Fi
97,26,20-29,Male,United States,98021.0,True,True,Students,Urban,YouTube,176.0,ASMR,9.0,,Evening,Boredom,Smartphone,iOS,2:00 PM,At home,Wi-Fi
98,41,40-49,Female,United States,,True,False,Waiting staff,Urban,Facebook,91.0,Jokes/Memes,12.0,56.0,Afternoon,Entertainment,Tablet,Android,,At work,Mobile Data
99,18,15-19,Male,India,67945.0,True,True,Engineer,Rural,Facebook,81.0,ASMR,19.0,24.0,Night,Entertainment,Smartphone,Android,,At work,Wi-Fi
100,61,60-69,Female,Mexico,33140.0,False,False,Waiting staff,Urban,Facebook,263.0,Pranks,25.0,91.0,Evening,Boredom,Tablet,iOS,,At home,Wi-Fi
101,25,20-29,Male,Germany,34357.0,False,False,,Rural,TikTok,171.0,Vlogs,18.0,4.0,Afternoon,Boredom,Tablet,Android,5:00 PM,At work,Wi-Fi
102,41,40-49,Male,Germany,88673.0,True,False,Waiting staff,Rural,Instagram,,Jokes/Memes,27.0,88.0,Night,Boredom,Smartphone,iOS,,Commuting,Mobile Data
103,28,20-29,Male,India,,True,False,Engineer,Urban,Facebook,210.0,Jokes/Memes,5.0,23.0,Night,Entertainment,Smartphone,Android,,At school,Wi-Fi
104,34,30-39,Female,Japan,96943.0,True,False,Engineer,Rural,TikTok,209.0,Gaming,27.0,29.0,Night,Habit,Tablet,Windows,9:00 PM,At work,Mobile Data
105,25,20-29,Female,India,98258.0,True,True,driver,Urban,Facebook,264.0,Gaming,2.0,98.0,Night,Habit,Smartphone,Android,9:00 PM,At home,Mobile Data
106,52,50-59,Male,Philippines,32924.0,False,False,Labor/Worker,Rural,Facebook,188.0,Comedy,7.0,21.0,Evening,Entertainment,Smartphone,iOS,,At home,Mobile Data
107,52,50-59,Female,Japan,89286.0,True,False,Labor/Worker,Urban,YouTube,44.0,Jokes/Memes,27.0,30.0,Night,Habit,Smartphone,Android,9:00 PM,At home,Mobile Data
108,50,50-59,Male,Barzil,94071.0,True,True,Waiting staff,Rural,YouTube,91.0,Pranks,10.0,90.0,Night,Entertainment,Smartphone,Windows,,At work,Wi-Fi
109,22,20-29,Male,Mexico,77326.0,True,True,Artist,Rural,YouTube,229.0,Gaming,15.0,20.0,Evening,Entertainment,Computer,Android,,At home,Wi-Fi
110,59,50-59,Male,Germany,50651.0,True,True,Labor/Worker,Rural,TikTok,167.0,Jokes/Memes,25.0,16.0,Night,Procrastination,Tablet,Android,9:00 PM,At work,Mobile Data
111,56,50-59,Female,India,90202.0,True,False,Waiting staff,Rural,Instagram,13.0,Jokes/Memes,7.0,67.0,Night,Entertainment,Smartphone,iOS,,At home,Wi-Fi
112,58,50-59,Female,Barzil,68777.0,True,False,Labor/Worker,Rural,Instagram,176.0,Pranks,28.0,49.0,Evening,Habit,Smartphone,Android,,At home,Wi-Fi
113,45,40-49,Female,Vietnam,36994.0,False,False,Labor/Worker,Rural,TikTok,213.0,Jokes/Memes,5.0,,Evening,Procrastination,Smartphone,Android,,At work,Mobile Data
114,24,20-29,Male,Indonesia,87263.0,True,True,Teacher,Rural,Facebook,,Jokes/Memes,15.0,,Evening,Boredom,Computer,Windows,2:00 PM,At home,Wi-Fi
115,26,20-29,Male,United States,79634.0,True,False,Students,Rural,TikTok,244.0,Entertainment,20.0,25.0,Night,Habit,Smartphone,Android,9:00 PM,At school,Mobile Data
116,25,20-29,Male,Barzil,30800.0,False,False,Students,Urban,Facebook,215.0,Life Hacks,28.0,23.0,Night,Boredom,Smartphone,iOS,,At school,Mobile Data
117,29,20-29,Female,Philippines,57823.0,True,False,Cashier,Rural,TikTok,159.0,Entertainment,,59.0,Evening,Habit,Smartphone,Android,,At work,Wi-Fi
118,51,50-59,Male,United States,83878.0,True,False,driver,Rural,TikTok,168.0,Life Hacks,15.0,,Evening,Habit,Smartphone,iOS,,At work,Wi-Fi
119,50,50-59,Other,India,38708.0,False,True,Labor/Worker,Rural,TikTok,288.0,Life Hacks,10.0,97.0,Evening,Habit,Smartphone,Android,,At work,Mobile Data
120,40,40-49,Female,Pakistan,32819.0,False,False,Engineer,Rural,Instagram,175.0,Gaming,24.0,15.0,Night,Habit,Smartphone,Android,,At home,Wi-Fi
121,41,40-49,Other,Vietnam,94905.0,True,True,Labor/Worker,Rural,YouTube,77.0,Life Hacks,26.0,81.0,Night,Habit,Tablet,Android,9:00 PM,At work,Mobile Data
122,54,50-59,Other,Barzil,83870.0,True,False,Labor/Worker,Rural,TikTok,97.0,Gaming,29.0,,Night,Habit,Tablet,iOS,9:00 PM,At home,Mobile Data
123,52,50-59,Female,Mexico,,False,True,Artist,Urban,Instagram,226.0,Trends,26.0,,Evening,Habit,Smartphone,iOS,,Commuting,Mobile Data
124,61,60-69,Other,India,50573.0,True,False,Waiting staff,Rural,YouTube,,Comedy,14.0,,Evening,Boredom,Smartphone,Windows,2:00 PM,At home,Wi-Fi
125,57,50-59,Male,United States,98707.0,True,True,driver,Rural,YouTube,,ASMR,26.0,58.0,Night,Boredom,Smartphone,iOS,9:00 PM,At home,Wi-Fi
126,39,30-39,Female,India,50933.0,True,False,driver,Rural,TikTok,,Gaming,26.0,,Evening,Entertainment,Tablet,Android,2:00 PM,At school,Mobile Data
127,44,40-49,Female,Barzil,25774.0,False,True,Cashier,Rural,Facebook,149.0,Pranks,,,Night,Habit,Computer,iOS,9:00 PM,At school,Mobile Data
128,52,50-59,Male,Mexico,92055.0,True,False,Labor/Worker,Rural,Facebook,115.0,Pranks,17.0,4.0,Night,Boredom,Smartphone,Android,9:00 PM,At school,Wi-Fi
129,18,15-19,Other,Philippines,30983.0,False,True,Waiting staff,Rural,Facebook,142.0,Vlogs,,,Afternoon,Entertainment,Smartphone,Android,,At school,Wi-Fi
130,52,50-59,Female,Indonesia,38133.0,False,False,Students,Urban,TikTok,117.0,Jokes/Memes,14.0,68.0,Evening,Habit,Tablet,MacOS,,At home,Wi-Fi
131,54,50-59,Male,United States,34939.0,False,True,driver,Urban,Facebook,187.0,Vlogs,2.0,7.0,Evening,Habit,Smartphone,Android,2:00 PM,At home,Mobile Data
132,64,60-69,Male,Indonesia,20781.0,False,False,Artist,Rural,Instagram,155.0,Life Hacks,16.0,46.0,Night,Procrastination,Smartphone,Android,,At home,Mobile Data
133,31,30-39,Female,India,76700.0,True,True,Waiting staff,Rural,Instagram,83.0,ASMR,13.0,9.0,Night,Entertainment,Tablet,Android,9:00 PM,Commuting,Mobile Data
134,20,20-29,Male,India,47624.0,False,False,Students,Rural,Instagram,117.0,Vlogs,27.0,,Afternoon,Entertainment,Smartphone,Android,,At school,Mobile Data
135,18,15-19,Female,Barzil,26823.0,False,True,driver,Rural,Instagram,131.0,Entertainment,9.0,33.0,Afternoon,Procrastination,Smartphone,Windows,5:00 PM,At home,Mobile Data
136,22,20-29,Female,Barzil,38489.0,False,False,Manager,Rural,YouTube,26.0,Life Hacks,7.0,,Evening,Entertainment,Computer,iOS,2:00 PM,At home,Mobile Data
137,43,40-49,Female,Pakistan,59961.0,True,True,Cashier,Rural,Instagram,205.0,Trends,,,Night,Boredom,Smartphone,Android,9:00 PM,At home,Mobile Data
138,31,30-39,Female,Germany,49118.0,False,False,Labor/Worker,Rural,Facebook,261.0,Entertainment,,,Night,Entertainment,Tablet,Android,9:00 PM,At work,Mobile Data
139,56,50-59,Male,Pakistan,,False,True,Students,Rural,TikTok,128.0,Life Hacks,24.0,,Morning,Boredom,Tablet,Android,8:00 AM,Commuting,Mobile Data
140,44,40-49,Male,India,33565.0,False,False,Students,Rural,Facebook,,Life Hacks,22.0,,Afternoon,Procrastination,Computer,Windows,,At school,Wi-Fi
141,26,20-29,Female,India,40354.0,False,True,Students,Rural,Instagram,207.0,Jokes/Memes,9.0,91.0,Afternoon,Habit,Tablet,iOS,5:00 PM,At work,Mobile Data
142,32,30-39,Male,India,62951.0,True,True,Engineer,Urban,YouTube,54.0,Gaming,22.0,85.0,Evening,Procrastination,Smartphone,Android,2:00 PM,At home,Mobile Data
143,32,30-39,Female,Pakistan,43648.0,False,True,Engineer,Rural,Instagram,188.0,Life Hacks,23.0,88.0,Evening,Habit,Smartphone,Android,2:00 PM,At school,Mobile Data
144,43,40-49,Female,Mexico,70729.0,True,True,Engineer,Urban,TikTok,53.0,Pranks,7.0,79.0,Night,Entertainment,Smartphone,Android,9:00 PM,Commuting,Mobile Data
145,59,50-59,Male,Mexico,,True,False,Waiting staff,Rural,Facebook,280.0,Life Hacks,16.0,,Morning,Entertainment,Smartphone,Android,8:00 AM,At work,Mobile Data
146,30,30-39,Other,India,38658.0,False,True,Engineer,Rural,TikTok,87.0,Life Hacks,9.0,,Evening,Habit,Tablet,iOS,2:00 PM,Commuting,Mobile Data
147,49,40-49,Male,Vietnam,41253.0,False,False,Waiting staff,Rural,TikTok,187.0,Life Hacks,27.0,25.0,Night,Procrastination,Smartphone,iOS,9:00 PM,At work,Mobile Data
148,56,50-59,Male,Germany,84166.0,True,False,Labor/Worker,Urban,TikTok,12.0,Jokes/Memes,24.0,,Morning,Procrastination,Smartphone,Android,8:00 AM,At home,Wi-Fi
149,49,40-49,Other,Mexico,68563.0,True,False,Engineer,Rural,Facebook,223.0,Vlogs,29.0,9.0,Evening,Boredom,Smartphone,iOS,,At home,Wi-Fi
150,21,20-29,Male,Japan,46390.0,False,False,Cashier,Rural,Instagram,83.0,Trends,17.0,17.0,Evening,Habit,Smartphone,iOS,,At school,Mobile Data
151,47,40-49,Other,United States,71578.0,True,False,Artist,Urban,TikTok,,Entertainment,20.0,,Afternoon,Habit,Smartphone,Android,5:00 PM,At home,Mobile Data
152,54,50-59,Male,India,99025.0,True,True,driver,Rural,Facebook,,Gaming,7.0,60.0,Night,Habit,Tablet,Android,,At home,Mobile Data
153,40,40-49,Male,India,,True,False,Students,Rural,YouTube,102.0,Life Hacks,11.0,,Evening,Entertainment,Smartphone,Windows,,At home,Mobile Data
154,56,50-59,Other,India,26852.0,False,False,Waiting staff,Urban,Facebook,185.0,Trends,8.0,,Afternoon,Habit,Smartphone,iOS,5:00 PM,At home,Mobile Data
155,62,60-69,Male,United States,22551.0,False,True,Students,Urban,YouTube,154.0,Entertainment,7.0,68.0,Night,Boredom,Smartphone,Android,9:00 PM,At school,Mobile Data
